age,d18O,Ca2
10260,-36.39,11.83
10280,-36.39,11.83
10280,-36.01,18.06
10300,-36.01,18.06
10300,-36.01,12.89
10320,-36.01,12.89
10320,-35.2,13.13
10340,-35.2,13.13
10340,-36.12,18.78
10360,-36.12,18.78
10360,-36.19,11.18
10380,-36.19,11.18
10380,-36.36,12.27
10400,-36.36,12.27
10400,-35.96,13.43
10420,-35.96,13.43
10420,-36.12,13.88
10440,-36.12,13.88
10440,-36.04,15.94
10460,-36.04,15.94
10460,-35.53,14.72
10480,-35.53,14.72
10480,-36.34,14.26
10500,-36.34,14.26
10500,-35.47,10.93
10520,-35.47,10.93
10520,-35.73,12.55
10540,-35.73,12.55
10540,-35.86,12.48
10560,-35.86,12.48
10560,-36,13.18
10580,-36,13.18
10580,-35.88,14.66
10600,-35.88,14.66
10600,-36.11,14.68
10620,-36.11,14.68
10620,-36.13,15.74
10640,-36.13,15.74
10640,-36.16,14.5
10660,-36.16,14.5
10660,-35.49,13.29
10680,-35.49,13.29
10680,-35.77,16.59
10700,-35.77,16.59
10700,-36.05,17.98
10720,-36.05,17.98
10720,-36.45,21.7
10740,-36.45,21.7
10740,-35.88,18.09
10760,-35.88,18.09
10760,-36.21,16.39
10780,-36.21,16.39
10780,-36.84,16.15
10800,-36.84,16.15
10800,-35.83,15.75
10820,-35.83,15.75
10820,-36.59,16.39
10840,-36.59,16.39
10840,-36.09,16.67
10860,-36.09,16.67
10860,-37.23,14.53
10880,-37.23,14.53
10880,-37.6,14.67
10900,-37.6,14.67
10900,-37.25,12.85
10920,-37.25,12.85
10920,-37.15,17.33
10940,-37.15,17.33
10940,-36.99,15.52
10960,-36.99,15.52
10960,-38.02,17.59
10980,-38.02,17.59
10980,-36.53,15.31
11000,-36.53,15.31
11000,-37.05,12.39
11020,-37.05,12.39
11020,-36.44,11.12
11040,-36.44,11.12
11040,-36.65,14.17
11060,-36.65,14.17
11060,-36.89,13.48
11080,-36.89,13.48
11080,-37.1,10.9
11100,-37.1,10.9
11100,-36.71,10.63
11120,-36.71,10.63
11120,-36.43,12.61
11140,-36.43,12.61
11140,-37.14,12.53
11160,-37.14,12.53
11160,-36.62,14.78
11180,-36.62,14.78
11180,-37.24,14
11200,-37.24,14
11200,-37.39,10.4
11220,-37.39,10.4
11220,-37.6,11.4
11240,-37.6,11.4
11240,-36.58,14.96
11260,-36.58,14.96
11260,-36.15,12.6
11280,-36.15,12.6
11280,-36.59,12.66
11300,-36.59,12.66
11300,-37.54,10.04
11320,-37.54,10.04
11320,-36.67,14.81
11340,-36.67,14.81
11340,-36.91,14.36
11360,-36.91,14.36
11360,-37.45,14.27
11380,-37.45,14.27
11380,-37.63,12.54
11400,-37.63,12.54
11400,-37.12,22.13
11420,-37.12,22.13
11420,-38.47,23.7
11440,-38.47,23.7
11440,-38.25,25.62
11460,-38.25,25.62
11460,-38.72,18.92
11480,-38.72,18.92
11480,-37.42,18.6
11500,-37.42,18.6
11500,-37.84,18.92
11520,-37.84,18.92
11520,-36.9,11.33
11540,-36.9,11.33
11540,-36.59,10.69
11560,-36.59,10.69
11580,-36.78,15.08
11600,-36.78,15.08
11600,-36.41,17.09
11620,-36.41,17.09
11620,-36.57,16.41
11640,-36.57,16.41
11640,-36.69,22.69
11660,-36.69,22.69
11660,-38.5,17.03
11680,-38.5,17.03
11680,-39.03,43.88
11700,-39.03,43.88
11700,-39.6,88.17
11720,-39.6,88.17
11720,-39.71,86.42
11740,-39.71,86.42
11740,-40.86,115.55
11760,-40.86,115.55
11760,-40.55,89.53
11780,-40.55,89.53
11780,-39.86,119.17
11800,-39.86,119.17
11800,-40.46,110.19
11820,-40.46,110.19
11820,-40.96,106.48
11840,-40.96,106.48
11840,-39.17,129.74
11860,-39.17,129.74
11860,-38.93,115.92
11880,-38.93,115.92
11880,-41.52,116.76
11900,-41.52,116.76
11900,-39.73,132.42
11920,-39.73,132.42
11920,-41.93,152.41
11940,-41.93,152.41
11940,-40.33,123.06
11960,-40.33,123.06
11960,-41.54,112.79
11980,-41.54,112.79
11980,-40.53,127.64
12000,-40.53,127.64
12000,-39.6,113.88
12020,-39.6,113.88
12020,-40.19,91.88
12040,-40.19,91.88
12040,-39.31,113.35
12060,-39.31,113.35
12060,-40.77,108.93
12080,-40.77,108.93
12080,-40.73,120.38
12100,-40.73,120.38
12100,-41.89,125.71
12120,-41.89,125.71
12120,-40.6,139.93
12140,-40.6,139.93
12140,-41.75,143.91
12160,-41.75,143.91
12160,-42.09,165.15
12180,-42.09,165.15
12180,-38.91,85.82
12200,-38.91,85.82
12200,-41.4,135.97
12220,-41.4,135.97
12220,-40.92,163.48
12240,-40.92,163.48
12240,-39.85,148.63
12260,-39.85,148.63
12260,-40.76,147.25
12280,-40.76,147.25
12280,-40.98,146.61
12300,-40.98,146.61
12300,-40.44,138.2
12320,-40.44,138.2
12320,-40.95,191.03
12340,-40.95,191.03
12340,-41.72,211.27
12360,-41.72,211.27
12360,-41.19,120.54
12380,-41.19,120.54
12380,-40.72,144.07
12400,-40.72,144.07
